parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,original,NET,session,True,9,152,,0.7704881404263239,0.3800660845356679,0.9953082512089869
Schaefer200,original,NET,treat*session,True,9,152,,26.86730167458515,1.4650065605815993e-06,1.6428647789168416e-05
Schaefer200,original,A4B2,treat,True,9,152,,8.401418426625002,0.014984945528140637,0.1557569674773691
Schaefer200,original,A4B2,session,True,9,152,,2.4186173107168463,0.11990071999392848,0.7612348081784364
Schaefer200,original,A4B2,treat*session,True,9,152,,1.651897193820638,0.43781948121260617,0.9984329776861314
Schaefer200,original,M1,treat,True,9,152,,2.8948481390971126,0.2351753037464798,0.9505406612616444
Schaefer200,original,M1,session,True,9,152,,0.2912622773045817,0.5894127665777782,0.9999537960357933
Schaefer200,original,M1,treat*session,True,9,152,,3.0548090823411584,0.21709840669316613,0.9357284602611127
Schaefer200,original,VAChT,treat,True,9,152,,1.448685139695559,0.4846430832194233,0.9994090597624147
Schaefer200,original,VAChT,session,True,9,152,,1.4520504510790044,0.22819922507820647,0.9452392915093889
Schaefer200,original,VAChT,treat*session,True,9,152,,12.932220038814979,0.0015552639275775275,0.017303057604735606
Schaefer200,original,FDOPA,treat,True,9,152,,0.07353988417895406,0.9638978621711994,0.9999999999999999
Schaefer200,original,FDOPA,session,True,9,152,,0.3763724690616062,0.5395510520308724,0.9998329393569
Schaefer200,original,FDOPA,treat*session,True,9,152,,2.4962757912323013,0.28703879572493046,0.9774958706375313
Schaefer200,original,D1,treat,True,9,152,,1.0196729240496016,0.6005937906738066,0.9999660988218754
Schaefer200,original,D1,session,True,9,152,,0.043702483661112256,0.8344081213679021,0.9999999982533577
Schaefer200,original,D1,treat*session,True,9,152,,1.9145104030984048,0.38394529343781525,0.9956271585509003
Schaefer200,original,D23,treat,True,9,152,,0.7682316076244199,0.6810525541306517,0.9999972795364253
Schaefer200,original,D23,session,True,9,152,,2.8954689141859844,0.08882892487838313,0.6476709966445804
Schaefer200,original,D23,treat*session,True,9,152,,8.8655342106843,0.011881566596584412,0.1254442975641017
Schaefer200,original,DAT,treat,True,9,152,,0.4034486143552853,0.8173202262041848,0.9999999947458488
Schaefer200,original,DAT,session,True,9,152,,0.6690607101179198,0.41337927798944907,0.9974745993070894
Schaefer200,original,DAT,treat*session,True,9,152,,11.250619251482904,0.0036054466240899837,0.039695639194074706
Schaefer200,original,5HT1a,treat,True,9,152,,0.7393798274815837,0.6909485510737391,0.9999980895306698
Schaefer200,original,5HT1a,session,True,9,152,,3.157896129835362,0.0755605030449173,0.5856598136416966
Schaefer200,original,5HT1a,treat*session,True,9,152,,7.061759410504705,0.029279147514572067,0.283403812507078
Schaefer200,original,5HT1b,treat,True,9,152,,3.120225845060748,0.2101123434436063,0.9289957254107497
Schaefer200,original,5HT1b,session,True,9,152,,1.2409810855178727,0.2652820584718049,0.9684746574135779
Schaefer200,original,5HT1b,treat*session,True,9,152,,0.7865731951044189,0.6748353137195644,0.999996621959024
Schaefer200,original,5HT2a,treat,True,9,152,,0.880410863701644,0.6439041290781226,0.9999906413251284
Schaefer200,original,5HT2a,session,True,9,152,,0.013553818174983332,0.9073189987014737,0.9999999999973956
Schaefer200,original,5HT2a,treat*session,True,9,152,,0.7675089004605263,0.6812986993806365,0.9999973029878768
Schaefer200,original,5HT4,treat,True,9,152,,0.34474345050260213,0.8416662464137552,0.9999999989433891
Schaefer200,original,5HT4,session,True,9,152,,1.170032557099307,0.27939455100369137,0.9746369162117706
Schaefer200,original,5HT4,treat*session,True,9,152,,4.863607109226197,0.08787819644431642,0.6435263647863102
Schaefer200,original,5HT6,treat,True,9,152,,2.2901007530771853,0.3182078871747303,0.9863682386303082
Schaefer200,original,5HT6,session,True,9,152,,0.8835871326048451,0.3472210714646128,0.9916292631727863
Schaefer200,original,5HT6,treat*session,True,9,152,,2.3861847360735777,0.30328195304980765,0.9826211183865512
Schaefer200,original,5HTT,treat,True,9,152,,1.9149766694290393,0.383855793489356,0.9956200291180293
Schaefer200,original,5HTT,session,True,9,152,,0.9757564083314555,0.3232487310259523,0.987456751423895
Schaefer200,original,5HTT,treat*session,True,9,152,,17.635966462894498,0.00014804663515331166,0.00165895918776382
Schaefer200,original,MOR,treat,True,9,152,,1.8654990911699023,0.3934703570064664,0.9963282344883302
Schaefer200,original,MOR,session,True,9,152,,1.1268172483153074,0.2884552451457303,0.9779921897081487
Schaefer200,original,MOR,treat*session,True,9,152,,3.619599285565957,0.16368692937511262,0.8652791690342656
Schaefer200,original,KOR,treat,True,9,152,,1.3067805404698833,0.5202788972945838,0.9997354133577937
Schaefer200,original,KOR,session,True,9,152,,5.129544471886728,0.02352190017594262,0.2342728629046641
Schaefer200,original,KOR,treat*session,True,9,152,,6.868808972845538,0.03224460661652827,0.3075735898359181
Schaefer200,original,CB1,treat,True,9,152,,0.6446036654499078,0.7244794857081128,0.9999994729949524
Schaefer200,original,CB1,session,True,9,152,,0.39765469041774215,0.5283029646609023,0.99978101375264
