parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	inverted	off_med	dx	D1	110	1.0	104.0	2.640591658746743	0.10719158838879622	0.597971253633639	-0.32328331882394334	0.024761599853053325		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	D23	110	1.0	104.0	0.799698702270542	0.37324833804389856	0.9765949540380413	-0.17652235190055826	0.00763073474612209		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	DAT	110	1.0	104.0	11.683922498442618	0.000901182598957549	0.0072196467346399285	-0.67124922286461	0.10099867160538156	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	5HT1a	110	1.0	104.0	0.8714296090361795	0.35272211103181317	0.9696760419450133	-0.18290156347001307	0.008309504431139111		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	5HT1b	110	1.0	104.0	3.180856936385419	0.07742255438880437	0.47671665373125605	-0.3588012040766915	0.029677472519867416		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	5HT2a	110	1.0	104.0	0.9968742340855911	0.32038544798125335	0.955131774092193	-0.20001866334063886	0.009494322963016088		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	5HT4	110	1.0	104.0	0.4353386019228544	0.5108394791959641	0.9968069771555929	-0.13072400575776866	0.004168498975066654		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	5HT6	110	1.0	104.0	1.6299588716955526	0.20455209476009897	0.8410565847108468	-0.2540771699945925	0.015430838836881476		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	5HTT	110	1.0	104.0	2.140374449356077	0.14648254049780854	0.7199909254489092	-0.29584762233846873	0.020165506862587314		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	MOR	110	1.0	104.0	1.975375901135577	0.16285871570449886	0.7603630385953785	-0.2752271699836463	0.018639951822189384		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	KOR	110	1.0	104.0	2.664875149329619	0.1056101328689415	0.5922123013767627	-0.3253200101070078	0.024983624136800647		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	CB1	110	1.0	104.0	0.0013197311991268155	0.9710903783848994	0.9999999999995717	-0.007248102353590296	1.2689562041498904e-05		sex, age, mean_fd, gc
Schaefer200	inverted	all	dx_apd_current	CMRglu	151	2.0	144.0	3.2638366559915806	0.041088691773771176	0.2858015477826519	-0.5005927475331738	0.04336527077286265	CTRL > PSY_noAPD	sex, age, mean_fd, gc
